@RELATION essay
@ATTRIBUTE length REAL
@ATTRIBUTE avg_word_length REAL
@ATTRIBUTE avg_sentence_length REAL
@ATTRIBUTE num_yous REAL
@ATTRIBUTE percent_distinct_words REAL
@ATTRIBUTE score {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60}
@DATA
61,4.06557377049,16.0,0,0.767857142857,0
136,4.84558823529,23.5,0,0.529411764706,3
65,4.84615384615,10.1428571429,0,0.738461538462,2
92,4.46739130435,23.75,0,0.673913043478,0
82,4.5487804878,17.2,0,0.585365853659,2
32,4.15625,11.3333333333,1,0.8125,1
117,4.1452991453,13.8888888889,0,0.623931623932,2
179,4.17877094972,20.7777777778,0,0.508379888268,2
42,3.90476190476,21.5,0,0.738095238095,0
177,4.72316384181,23.0,0,0.607954545455,2
71,4.50704225352,18.5,3,0.69014084507,0
48,3.95833333333,16.6666666667,0,0.770833333333,1
87,4.41379310345,13.2857142857,0,0.620689655172,2
34,4.82352941176,12.0,0,0.823529411765,1
164,4.62804878049,17.3,0,0.536585365854,3
50,4.22,17.3333333333,0,0.76,1
81,4.24691358025,27.6666666667,0,0.641975308642,1
40,4.5,14.0,0,0.85,1
145,4.35172413793,25.0,1,0.673758865248,3
59,3.42372881356,20.3333333333,2,0.787234042553,1
88,4.15909090909,18.4,0,0.681818181818,2
176,4.75568181818,13.5,0,0.585227272727,2
139,4.34532374101,20.7142857143,0,0.522058823529,3
79,4.89873417722,14.0,1,0.645569620253,1
54,4.14814814815,9.83333333333,0,0.759259259259,2
55,4.36363636364,7.75,0,0.8,1
176,4.46022727273,18.5,0,0.568181818182,3
89,5.02247191011,13.5714285714,0,0.696629213483,2
141,3.8865248227,21.0,0,0.6,2
34,4.58823529412,12.0,0,0.823529411765,0
149,3.91946308725,17.4444444444,4,0.597315436242,2
36,4.44444444444,9.75,0,0.777777777778,0
162,4.26543209877,24.0,0,0.573248407643,3
177,4.29378531073,20.5555555556,0,0.553672316384,3
141,4.37588652482,13.7272727273,0,0.647482014388,2
112,4.625,12.1,0,0.714285714286,2
40,4.3,20.5,0,0.675,0
101,4.47524752475,12.1111111111,0,0.564356435644,1
117,4.11965811966,15.5,0,0.666666666667,2
68,4.20588235294,14.4,0,0.661764705882,1
180,4.52777777778,20.8888888889,0,0.622222222222,3
66,4.25757575758,11.8333333333,0,0.651515151515,1
76,4.14473684211,26.0,0,0.671052631579,1
193,4.29533678756,12.2941176471,0,0.572916666667,2
68,4.25,12.1666666667,0,0.779411764706,2
107,4.27102803738,14.25,0,0.588785046729,0
66,4.37878787879,22.6666666667,0,0.681818181818,0
125,4.288,18.7142857143,0,0.328,1
90,5.0,12.125,0,0.755555555556,3
43,4.04651162791,15.0,0,0.744186046512,0
141,4.17021276596,21.0,0,0.602836879433,2
179,4.55865921788,23.25,0,0.64,3
88,4.27272727273,13.4285714286,0,0.715909090909,2
83,4.15662650602,17.4,0,0.707317073171,1
59,3.93220338983,15.5,0,0.631578947368,0
91,4.38461538462,12.25,0,0.648351648352,1
68,4.22058823529,17.75,0,0.791044776119,1
84,4.36904761905,21.75,0,0.607142857143,0
55,4.29090909091,11.8,0,0.818181818182,3
19,4.26315789474,10.0,0,0.947368421053,1
126,4.61111111111,42.6666666667,0,0.68253968254,2
55,3.74545454545,14.5,0,0.709090909091,1
186,4.40860215054,27.4285714286,0,0.537634408602,2
49,3.87755102041,13.0,0,0.775510204082,1
105,4.40952380952,14.0,0,0.673076923077,1
53,4.09433962264,27.0,0,0.735849056604,1
140,4.59285714286,13.6363636364,0,0.583333333333,3
134,4.5671641791,17.625,0,0.631578947368,2
227,4.54625550661,23.6,0,0.555066079295,3
62,3.75806451613,13.2,0,0.661290322581,1
98,4.16326530612,14.8571428571,0,0.697916666667,1
107,4.08411214953,36.3333333333,0,0.551401869159,2
106,4.64150943396,18.5,0,0.632075471698,3
85,4.16470588235,17.8,0,0.6,0
167,4.40119760479,17.6,0,0.59880239521,3
46,4.17391304348,23.5,2,0.869565217391,0
112,4.63392857143,13.3333333333,0,0.607142857143,1
155,2.58709677419,26.6666666667,0,0.584158415842,2
77,4.23376623377,16.2,0,0.657894736842,1
71,3.6338028169,24.3333333333,0,0.63768115942,1
49,4.28571428571,17.0,0,0.673469387755,1
114,4.33333333333,15.125,0,0.614035087719,2
34,4.38235294118,7.6,0,0.735294117647,0
148,4.56081081081,17.3333333333,0,0.554054054054,3
98,4.18367346939,14.8571428571,0,0.65306122449,1
75,4.70666666667,11.5714285714,0,0.733333333333,1
97,4.48453608247,14.7142857143,1,0.639175257732,2
78,3.62820512821,20.25,2,0.628205128205,1
34,4.32352941176,17.5,1,0.823529411765,0
98,4.02040816327,20.4,0,0.438775510204,2
50,4.78,13.25,0,0.8,2
173,4.4161849711,14.2307692308,0,0.587209302326,2
52,4.28846153846,11.2,0,0.673076923077,1
96,4.41666666667,20.0,1,0.625,1
114,4.54385964912,19.8333333333,0,0.640350877193,2
170,4.79411764706,19.7777777778,0,0.591715976331,3
144,4.31944444444,21.4285714286,0,0.541666666667,3
26,4.57692307692,7.25,0,0.769230769231,0
61,4.11475409836,21.0,0,0.704918032787,0
120,4.325,20.8333333333,0,0.666666666667,2
54,4.46296296296,54.0,3,0.851851851852,0
211,4.47393364929,17.1538461538,0,0.545023696682,3
58,4.44827586207,15.25,0,0.689655172414,1
251,4.40239043825,21.8333333333,2,0.429718875502,3
43,4.53488372093,15.0,0,0.837209302326,1
119,4.71428571429,20.6666666667,0,0.638655462185,2
26,4.53846153846,13.5,0,0.96,1
82,4.4512195122,17.2,0,0.731707317073,1
124,4.09677419355,42.0,2,0.604838709677,2
78,4.58974358974,13.8333333333,0,0.512820512821,2
148,4.68918918919,14.3636363636,0,0.560810810811,2
24,3.875,8.66666666667,0,0.75,1
227,4.30396475771,21.5454545455,1,0.559471365639,3
40,4.1,20.5,0,0.725,0
46,4.41304347826,16.0,0,0.760869565217,0
47,4.48936170213,12.5,0,0.787234042553,0
23,4.5652173913,12.0,0,0.913043478261,0
96,4.53125,16.8333333333,0,0.604166666667,2
171,4.64912280702,29.3333333333,0,0.672514619883,2
134,4.17910447761,17.625,0,0.507462686567,3
62,4.1935483871,13.2,0,0.725806451613,1
51,3.96078431373,11.0,4,0.823529411765,1
218,4.32110091743,25.1111111111,0,0.52534562212,2
68,3.97058823529,23.3333333333,2,0.820895522388,2
178,4.63483146067,15.75,0,0.516853932584,2
171,4.56140350877,35.0,0,0.565476190476,3
120,4.325,18.0,1,0.55,3
103,4.35922330097,21.4,0,0.679611650485,3
139,4.52517985612,18.25,1,0.608695652174,2
116,4.68965517241,24.0,0,0.706896551724,2
95,4.66315789474,12.75,1,0.621052631579,2
60,4.83333333333,20.6666666667,0,0.75,1
158,3.74050632911,23.4285714286,0,0.56338028169,2
99,4.47474747475,25.5,0,0.626262626263,1
55,4.16363636364,10.0,0,0.818181818182,1
185,4.36216216216,21.4444444444,0,0.568306010929,2
97,4.01030927835,25.0,0,0.483870967742,1
92,4.42391304348,14.0,0,0.597826086957,2
88,4.39772727273,18.4,0,0.670454545455,2
180,4.60555555556,17.2727272727,0,0.527777777778,3
23,4.21739130435,12.0,1,0.826086956522,0
92,4.78260869565,14.0,0,0.641304347826,2
99,4.42424242424,17.3333333333,0,0.69696969697,2
52,4.17307692308,11.2,1,0.75,1
59,4.0,15.5,3,0.745762711864,1
27,4.25925925926,14.0,0,0.851851851852,1
95,4.02105263158,24.5,5,0.694736842105,2
41,4.63414634146,11.0,0,0.731707317073,1
154,4.4025974026,39.25,0,0.642857142857,2
66,3.9696969697,14.0,0,0.65625,0
84,4.34523809524,28.6666666667,4,0.630952380952,1
22,4.36363636364,11.5,0,0.863636363636,1
146,4.74657534247,30.0,0,0.595890410959,2
231,4.43722943723,18.6923076923,1,0.513043478261,3
72,4.13888888889,18.75,0,0.638888888889,0
138,4.33333333333,14.7,0,0.643939393939,3
36,4.38888888889,12.6666666667,0,0.916666666667,1
134,4.33582089552,8.82352941176,0,0.522388059701,2
146,4.47945205479,21.7142857143,0,0.593103448276,3
146,4.52739726027,21.7142857143,0,0.618055555556,2
101,4.19801980198,21.0,0,0.60396039604,2
255,4.34901960784,22.1666666667,3,0.58431372549,1
58,4.48275862069,15.25,0,0.793103448276,0
93,4.40860215054,31.6666666667,0,0.728260869565,1
35,4.68571428571,12.3333333333,0,0.857142857143,1
31,3.61290322581,11.0,0,0.896551724138,0
97,4.37113402062,14.7142857143,0,0.618556701031,2
64,4.6875,11.5,0,0.730158730159,1
120,4.58333333333,24.8,0,0.7,2
109,4.64220183486,28.0,0,0.761467889908,3
84,4.2619047619,14.8333333333,2,0.630952380952,2
78,4.34615384615,20.25,0,0.679487179487,1
88,4.15909090909,13.4285714286,0,0.625,1
77,4.01298701299,26.3333333333,0,0.688311688312,0
